badge_number,score,of_concern_hr,of_concern_security
610,0,"N","N"
611,0,"N","N"
612,0,"N","N"
613,0,"N","N"
614,0,"N","N"
615,0,"N","N"
616,0,"N","N"
617,0,"N","N"
618,0,"N","N"
619,0,"N","N"
620,0,"N","N"
621,0,"N","N"
622,0,"N","N"
623,0,"N","N"
624,0,"N","N"
625,0,"N","N"
626,0,"N","N"
627,0,"N","N"
628,0,"N","N"
629,0,"N","N"
630,0,"N","N"
631,0,"N","N"
632,0,"N","N"
633,0,"N","N"
634,0,"N","N"
635,0,"N","N"
636,0,"N","N"
637,0,"N","N"
638,0,"N","N"
639,0,"N","N"
640,0,"N","N"
641,0,"N","N"
642,0,"N","N"
643,0,"N","N"
644,0,"N","N"
645,0,"N","N"
646,0,"N","N"
647,0,"N","N"
648,0,"N","N"
649,0,"N","N"
650,0,"N","N"
651,0,"N","N"
652,0,"N","N"
653,0,"N","N"
654,0,"N","N"
655,0,"N","N"
656,0,"N","N"
657,0,"N","N"
658,0,"N","N"
659,0,"N","N"
660,0,"N","N"
661,0,"N","N"
662,0,"N","N"
663,0,"N","N"
664,0,"N","N"
665,0,"N","N"
666,0,"N","N"
667,0,"N","N"
668,0,"N","N"
669,0,"N","N"
670,0,"N","N"
671,0,"N","N"
672,0,"N","N"
673,0,"N","N"
674,0,"N","N"
675,0,"N","N"
676,0,"N","N"
677,0,"N","N"
678,0,"N","N"
679,0,"N","N"
680,0,"N","N"
681,0,"N","N"
682,0,"N","N"
683,0,"N","N"
684,0,"N","N"
685,0,"N","N"
686,0,"N","N"
687,0,"N","N"
688,0,"N","N"
689,0,"N","N"
690,0,"N","N"
691,0,"N","N"
692,0,"N","N"
693,0,"N","N"
694,0,"N","N"
695,0,"N","N"
696,0,"N","N"
697,0,"N","N"
698,0,"N","N"
699,0,"N","N"
1000,0,"N","N"
1001,0,"N","N"
1002,0,"N","N"
1003,0,"N","N"
1004,0,"N","N"
1005,0,"N","N"
1006,0,"N","N"
1007,0,"N","N"
1008,0,"N","N"
1009,0,"N","N"
1010,0,"N","N"
1011,0,"N","N"
1012,0,"N","N"
1013,0,"N","N"
1014,0,"N","N"
1015,0,"N","N"
1016,0,"N","N"
1017,0,"N","N"
1018,0,"N","N"
1019,0,"N","N"
1020,0,"N","N"
